Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.4459E-05,0.053985,6.0593E-06,0,0,0,0.42958,0.00029896,6.2368E-07,8.6388E-12,0.00041395,1.8987E-08,0.0003993,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/base_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/base_link.STL,,Hub_closed_all_EG_P5.5-1,Coordinate System 0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_L1,1.439E-07,-3.3486E-09,0.021139,0,0,0,0.020296,6.3027E-06,4.4754E-13,-2.9813E-09,2.9263E-06,8.3466E-14,3.8709E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L1.STL,,Link1_EG_P5.5-1,Coordinate System Left1,Axis Left1,Left_J1,revolute,-0.024,0.0957,0,-1.5708,0,0.043669,base_link,0,1,0,50,50,-1.571,1.571,,,,,,,,
Left_L2,-0.00064719,-2.925E-09,0.015675,0,0,0,0.023378,4.192E-06,3.5171E-14,-9.5197E-08,2.3374E-06,1.0934E-12,2.5072E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L2.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L2.STL,,Link2_EG_P5.5-1,Coordinate System Left2,Axis Left2,Left_J2,revolute,0,0,0.034,0,0,0,Left_L1,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Left_L3,-0.0011614,-1.4301E-10,0.011796,0,0,0,0.021391,2.4884E-06,2.5608E-13,2.0468E-07,2.147E-06,-4.9199E-13,1.0866E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L3.STL,,Link3_EG_P5.5-1,Coordinate System Left3,Axis Left3,Left_J3,revolute,0,0,0.034,0,0.79468,0,Left_L2,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Left_finger_plate,-5.8755E-16,-0.016487,-0.0025113,0,0,0,0.015469,1.8941E-06,1.2722E-21,1.1212E-23,1.1054E-06,2.5185E-08,2.9218E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_finger_plate.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_finger_plate.STL,,fingertip_metal_palte_EG_P5.5-1,Origin_fix_Left_finger_plate,,fix_Left_finger_plate,fixed,0.00014585,0,0.02476,-2.3218,0,1.5708,Left_L3,0,0,0,,,,,,,,,,,,
Left_finger_rubber,-5.8782E-16,-0.01436,-0.0075,0,0,0,0.0075929,1.1398E-06,1.0754E-21,-5.8666E-23,5.2929E-07,1.1938E-17,1.6374E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_finger_rubber.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_finger_rubber.STL,,fingertip_rubber_pad_EG_P5.5-1,Origin_fix_Left_finger_rubber,,fix_Left_finger_rubber,fixed,0,0,0,0,0,0,Left_finger_plate,0,0,0,,,,,,,,,,,,
Left_L4,-0.00077517,1.1835E-09,0.040195,0,0,0,0.041435,2.2314E-05,-1.0897E-13,1.1302E-08,1.394E-05,-6.1441E-13,9.2922E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Left_L4.STL,,Link4_EG_P5.5-1,Coordinate System Left4,Axis Left4,Left_J4,revolute,-0.01,0.1107,0,-1.5708,0,0.043633,base_link,0,1,0,50,50,-1.571,1.571,,,,,,,,
Right_L1,9.3904E-08,-3.3486E-09,0.021139,0,0,0,0.020296,6.3027E-06,4.4754E-13,-2.9813E-09,2.9263E-06,8.3466E-14,3.8709E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L1.STL,,Link1_EG_P5.5-2,Coordinate System Right1,Axis Right1,Right_J1,revolute,0.024,0.0957,0,1.5708,0,3.0979,base_link,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Right_L2,-0.00064719,-2.925E-09,0.015675,0,0,0,0.023378,4.192E-06,3.5171E-14,-9.5197E-08,2.3374E-06,1.0934E-12,2.5072E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L2.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L2.STL,,Link2_EG_P5.5-2,Coordinate System Right2,Axis Right2,Right_J2,revolute,0,0,0.0339999999999633,0,0,0,Right_L1,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Right_L3,-0.0011614,-1.4301E-10,0.011796,0,0,0,0.021391,2.4884E-06,2.5608E-13,2.0468E-07,2.147E-06,-4.9199E-13,1.0866E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L3.STL,,Link3_EG_P5.5-2,Coordinate System Right3,Axis Right3,Right_J3,revolute,0,0,0.0339999999999633,0,0.79467972163649,0,Right_L2,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Right_finger_plate,5.9982E-16,0.016487,0.0025112,0,0,0,0.015469,1.8941E-06,1.248E-21,-1.3917E-22,1.1054E-06,2.5193E-08,2.9218E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_finger_plate.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_finger_plate.STL,,fingertip_metal_palte_EG_P5.5-2,Origin_fix_Right_finger_plate,Axis_fix_Right_finger_plate,fix_Right_finger_plate,fixed,0.000145845916195486,0,0.0247601331310644,0.819785189014245,0,1.5707963267949,Right_L3,0,0,0,,,,,,,,,,,,
Right_finger_rubber,-5.9952E-16,-0.01436,-0.0075001,0,0,0,0.0075929,1.1398E-06,1.1153E-21,8.4459E-23,5.2929E-07,-8.9523E-12,1.6374E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_finger_rubber.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_finger_rubber.STL,,fingertip_rubber_pad_EG_P5.5-2,Origin_fix_Right_finger_rubber,Axis_fix_Right_finger_rubber,fix_Right_finger_rubber,fixed,0,0,0.0149999999998809,0,0,-3.14159265358979,Right_finger_plate,0,0,0,,,,,,,,,,,,
Right_L4,-0.00077517,1.1835E-09,0.040195,0,0,0,0.041435,2.2314E-05,-1.0897E-13,1.1302E-08,1.394E-05,-6.1441E-13,9.2922E-06,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://eg01_p55_sw2urdf/meshes/Right_L4.STL,,Link4_EG_P5.5-2,Coordinate System Right4,Axis Right4,Right_J4,revolute,0.01,0.1107,0,1.5708,0,3.098,base_link,0,-1,0,50,50,-1.571,1.571,,,,,,,,
