Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hx01_hand_base_link,0.00054804,-0.0010883,-0.024366,0,0,0,0.27267,0.00011167,1.523E-08,-1.3818E-07,9.5051E-05,-2.3852E-06,0.0001569,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/hx01_hand_base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/hx01_hand_base_link.STL,,palm_P1.1_with_flange_mount-1,Coordinate System0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1_F1_Ujoint,3.4029E-05,0,0.0035961,0,0,0,0.0061837,2.2434E-07,-3.8637E-23,-1.9788E-09,5.4172E-07,7.1018E-24,3.9017E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link1_F1_Ujoint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link1_F1_Ujoint.STL,,finger1_P1.1_urdf_withUjoint-1/finger1_P1.1_u-joint-1,Coordinate System1,Axis1,joint1_F1_MCPAbAd,revolute,0,-0.026,-0.005,0,0,0,hx01_hand_base_link,0,1,0,100,50,-1.571,1.571,,,,,,,,
link2_F1_Proximal,2.6493E-06,-0.0098301,0.010587,0,0,0,0.0095795,1.363E-06,1.6403E-10,5.3694E-10,1.3386E-06,-2.7724E-07,3.7875E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link2_F1_Proximal.STL,1,0.50196,0.50196,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link2_F1_Proximal.STL,,finger1_P1.1_urdf_withUjoint-1/finger1_P1.1_urdf_proximal-1,Coordinate System2,Axis2,joint2_F1_MCPFlex,revolute,0,0,0.013,0,0,0,link1_F1_Ujoint,-1,0,0,100,50,0,2.094,,,,,,,,
link3_F1_Intermediate,4.9352E-06,-0.010536,0.006551,0,0,0,0.010285,1.2728E-06,-1.329E-10,-9.1045E-10,1.2238E-06,-2.2669E-07,4.0861E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link3_F1_Intermediate.STL,0.75294,1,0.75294,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link3_F1_Intermediate.STL,,finger1_P1.1_urdf_withUjoint-1/finger1_P1.1_urdf_intermediate-1,Coordinate System3,Axis3,joint3_F1_PIP,revolute,0,0,0.035,0,0,0,link2_F1_Proximal,1,0,0,100,50,-1.571,0,,,,,,,,
link4_F1_Distal,2.6322E-09,-0.003231,0.014697,0,0,0,0.0060356,6.7963E-07,-6.2431E-14,-2.7537E-14,6.5098E-07,-1.1436E-07,2.3015E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link4_F1_Distal.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link4_F1_Distal.STL,,finger1_P1.1_urdf_withUjoint-1/finger1_P1.1_urdf_distal(tip)-1,Coordinate System4,Axis4,joint4_F1_DIP,revolute,0,0,0.03,0,0,0,link3_F1_Intermediate,1,0,0,100,50,-1.571,0,,,,,,,,
link5_F2_Ujoint,-3.4029E-05,0.0035961,1.8871E-18,0,0,0,0.0061837,2.2434E-07,1.9788E-09,2.5877E-23,3.9017E-07,2.885E-23,5.4172E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link5_F2_Ujoint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link5_F2_Ujoint.STL,,finger1_P1.1_urdf_withUjoint-2/finger1_P1.1_u-joint-1,Coordinate System5,Axis5,joint5_F2_MCPAbAd,revolute,0.02,0.031,-0.005,0,0,0,hx01_hand_base_link,0,0,1,100,50,-1.571,0.3,,,,,,,,
link6_F2_Proximal,-2.6493E-06,0.010587,-0.0098301,0,0,0,0.0095795,1.363E-06,-5.3694E-10,-1.6403E-10,3.7875E-07,-2.7724E-07,1.3386E-06,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link6_F2_Proximal.STL,1,0.50196,0.50196,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link6_F2_Proximal.STL,,finger1_P1.1_urdf_withUjoint-2/finger1_P1.1_urdf_proximal-1,Coordinate System6,Axis6,joint6_F2_MCPFlex,revolute,0,0.013,0,0,0,0,link5_F2_Ujoint,1,0,0,100,50,0,2.094,,,,,,,,
link7_F2_Intermediate,-4.9352E-06,0.006551,-0.010536,0,0,0,0.010285,1.2728E-06,9.1045E-10,1.329E-10,4.0861E-07,-2.2669E-07,1.2238E-06,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link7_F2_Intermediate.STL,0.75294,1,0.75294,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link7_F2_Intermediate.STL,,finger1_P1.1_urdf_withUjoint-2/finger1_P1.1_urdf_intermediate-1,Coordinate System7,Axis7,joint7_F2_PIP,revolute,0,0.035,0,0,0,0,link6_F2_Proximal,-1,0,0,100,50,-1.571,0,,,,,,,,
link8_F2_Distal,-2.6322E-09,0.014697,-0.003231,0,0,0,0.0060356,6.7963E-07,2.7537E-14,6.2431E-14,2.3015E-07,-1.1436E-07,6.5098E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link8_F2_Distal.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link8_F2_Distal.STL,,finger1_P1.1_urdf_withUjoint-2/finger1_P1.1_urdf_distal(tip)-1,Coordinate System8,Axis8,joint8_F2_DIP,revolute,0,0.03,0,0,0,0,link7_F2_Intermediate,-1,0,0,100,50,-1.571,0,,,,,,,,
link9_F3_Ujoint,-3.4029E-05,0.0035961,3.6746E-18,0,0,0,0.0061837,2.2434E-07,1.9788E-09,1.7966E-23,3.9017E-07,2.7208E-23,5.4172E-07,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link9_F3_Ujoint.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hx01_p11_urdf_v1_5/meshes/link9_F3_Ujoint.STL,,finger1_P1.1_urdf_withUjoint-3/finger1_P1.1_u-joint-1,Coordinate System9,Axis9,joint9_F3_MCPAbAd,revolute,-0.02,0.031,-0.005,0,0,0,hx01_hand_base_link,0,0,1,100,50,-0.3,1.571,,,,,,,,
