Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.44593792469313E-05,-6.05931377825923E-06,0.0539848053485706,0,0,0,0.429582066230593,0.00029896106299929,-8.6388093366694E-12,6.23679934372197E-07,0.000399300131753147,-1.89873022075268E-08,0.000413954589740284,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/base_link.STL,,Hub_closed_all_EG_P5.5-1,Coordinate System 0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_L1,1.43904098387493E-07,-3.34855326372341E-09,0.0211387998971081,0,0,0,0.0202960488980778,6.30266208191649E-06,4.47538448710154E-13,-2.98133851271058E-09,2.92633983907152E-06,8.34664732796819E-14,3.87087931140996E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L1.STL,,Link1_EG_P5.5-1,Coordinate System Left1,Axis Left1,Left_J1,revolute,-0.0240000499523323,0,0.095699997817228,0,-0.0436685838558384,0,base_link,0,1,0,50,50,-1.571,1.571,,,,,,,,
Left_L2,-0.000647192263089253,-2.92503751228311E-09,0.0156751455321069,0,0,0,0.0233775173353231,4.19195319592145E-06,3.5171463174931E-14,-9.51967476259919E-08,2.33740847027707E-06,1.09337582141081E-12,2.50717767452369E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L2.STL,,Link2_EG_P5.5-1,Coordinate System Left2,Axis Left2,Left_J2,revolute,0,0,0.034,0,0,0,Left_L1,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Left_L3,-0.00116141401960185,-1.43012435769062E-10,0.0117955281118583,0,0,0,0.0213906199756841,2.48837578509039E-06,2.56080541785578E-13,2.04680899233398E-07,2.14702464916587E-06,-4.91986473903457E-13,1.08656518460548E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L3.STL,,Link3_EG_P5.5-1,Coordinate System Left3,Axis Left3,Left_J3,revolute,0,0,0.0339999999999633,0,0.79467972163649,0,Left_L2,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Left_finger_plate,-5.97922808132605E-16,-0.0164872120835624,-0.002511279045092,0,0,0,0.0154688456687465,1.89407053897812E-06,1.19028961051229E-21,4.1112323618535E-23,1.10536981639249E-06,2.51854419537877E-08,2.92180253260638E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_finger_plate.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_finger_plate.STL,,fingertip_metal_palte_EG_P5.5-1,Origin_fix_Left_finger_plate,Axis_fix_Left_finger_plate,fix_Left_finger_plate,fixed,0.000145845916247972,0,0.024760133131013,-2.32181150391728,0,1.5707963267949,Left_L3,0,0,0,,,,,,,,,,,,
Left_finger_rubber,-5.97822322796637E-16,-0.0143595610551673,-0.00749999999984534,0,0,0,0.007592949952427,1.13976905041448E-06,1.12778587533801E-21,-5.83235302222603E-23,5.29290272646812E-07,1.19374966327374E-17,1.63742203159284E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_finger_rubber.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_finger_rubber.STL,,fingertip_rubber_pad_EG_P5.5-1,Origin_fix_Left_finger_rubber,Axis_fix_Left_finger_rubber,fix_Left_finger_rubber,fixed,0,0,0,0,0,0,Left_finger_plate,0,0,0,,,,,,,,,,,,
Left_L4,-0.000775167366935376,1.18347949065981E-09,0.0401950668707313,0,0,0,0.0414352233342608,2.23144284823025E-05,-1.08967853282723E-13,1.13022036160236E-08,1.3939971641353E-05,-6.14408384889434E-13,9.29223699317336E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Left_L4.STL,,Link4_EG_P5.5-1,Coordinate System Left4,Axis Left4,Left_J4,revolute,-0.01,0,0.1107,0,-0.0436332312998548,0,base_link,0,1,0,50,50,-1.571,1.571,,,,,,,,
Right_L1,9.3904098392994E-08,-3.34855202920757E-09,0.0211387998970713,0,0,0,0.0202960488980778,6.30266208191649E-06,4.47538448927079E-13,-2.98133851271068E-09,2.92633983907152E-06,8.34664727298746E-14,3.87087931140995E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L1.STL,,Link1_EG_P5.5-2,Coordinate System Right1,Axis Right1,Right_J1,revolute,0.024,0,0.0957,0,-0.0436685838558384,-3.14159265358979,base_link,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Right_L2,-0.000647192263089246,-2.9250362334446E-09,0.0156751455321069,0,0,0,0.0233775173353231,4.19195319592145E-06,3.51714625855283E-14,-9.51967476259913E-08,2.33740847027707E-06,1.09337582151108E-12,2.50717767452369E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L2.STL,,Link2_EG_P5.5-2,Coordinate System Right2,Axis Right2,Right_J2,revolute,0,0,0.0339999999999633,0,0,0,Right_L1,0,-1,0,50,50,-1.571,1.571,,,,,,,,
Right_L3,-0.00116141401960185,-1.43011183481417E-10,0.0117955281118583,0,0,0,0.021390619975684,2.48837578509039E-06,2.56080541555241E-13,2.04680899233397E-07,2.14702464916586E-06,-4.91986474301754E-13,1.08656518460548E-06,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eg01_p5_5_sw2urdf/meshes/Right_L3.STL,,Link3_EG_P5.5-2,Coordinate System Right3,Axis Right3,Right_J3,revolute,0,0,0.0339999999999633,0,0.79467972163649,0,Right_L2,0,-1,0,50,50,-1.571,1.571,,,,,,,,
